date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:02:58	1484/1484	---M-Z	200	added ('OK')	text/html	etag:%225cc-55f17b5784d40-gzip%22	http://shymanovsky.mooo.com/s2.html	C:/1234/shentropye/shymanovsky.mooo.com/s2.html	(from http://shymanovsky.mooo.com/continue.html)
11:02:58	1838/1838	---M-Z	200	added ('OK')	text/html	etag:%2272e-55f17b5784d40-gzip%22	http://shymanovsky.mooo.com/s3.html	C:/1234/shentropye/shymanovsky.mooo.com/s3.html	(from http://shymanovsky.mooo.com/continue.html)
11:02:58	5186/5186	---M-Z	200	added ('OK')	text/html	etag:%221442-55f17b5784d40-gzip%22	http://shymanovsky.mooo.com/s4.html	C:/1234/shentropye/shymanovsky.mooo.com/s4.html	(from http://shymanovsky.mooo.com/continue.html)
11:02:58	1703/1703	---M-Z	200	added ('OK')	text/html	etag:%226a7-597d324eda140-gzip%22	http://shymanovsky.mooo.com/s5.html	C:/1234/shentropye/shymanovsky.mooo.com/s5.html	(from http://shymanovsky.mooo.com/continue.html)
11:02:59	3408/3408	---M-Z	200	added ('OK')	text/html	etag:%22d50-55f17b5784d40-gzip%22	http://shymanovsky.mooo.com/s6.html	C:/1234/shentropye/shymanovsky.mooo.com/s6.html	(from http://shymanovsky.mooo.com/continue.html)
11:02:59	4869/4869	---M-Z	200	added ('OK')	text/html	etag:%221305-55f17b5784d40-gzip%22	http://shymanovsky.mooo.com/s7.html	C:/1234/shentropye/shymanovsky.mooo.com/s7.html	(from http://shymanovsky.mooo.com/continue.html)
11:02:59	1754/1754	---M-Z	200	added ('OK')	text/html	etag:%226da-55f17b5784d40-gzip%22	http://shymanovsky.mooo.com/s8.html	C:/1234/shentropye/shymanovsky.mooo.com/s8.html	(from http://shymanovsky.mooo.com/continue.html)
11:02:59	6269/6269	---M-Z	200	added ('OK')	text/html	etag:%22187d-617d1cdc12846-gzip%22	http://shymanovsky.mooo.com/s9.html	C:/1234/shentropye/shymanovsky.mooo.com/s9.html	(from http://shymanovsky.mooo.com/continue.html)
11:03:00	3897/3897	---M-Z	200	added ('OK')	text/html	etag:%22f39-55f17b5878f80-gzip%22	http://shymanovsky.mooo.com/work.html	C:/1234/shentropye/shymanovsky.mooo.com/work.html	(from http://shymanovsky.mooo.com/continue.html)
11:03:00	5714/5714	---M--	200	added ('OK')	image/gif	etag:%221652-55b99d5399d40%22	http://shymanovsky.mooo.com/work.gif	C:/1234/shentropye/shymanovsky.mooo.com/work.gif	(from http://shymanovsky.mooo.com/continue.html)
11:03:00	1232/1232	---M-Z	200	added ('OK')	text/html	etag:%224d0-55f17b5878f80-gzip%22	http://shymanovsky.mooo.com/work_o.html	C:/1234/shentropye/shymanovsky.mooo.com/work_o.html	(from http://shymanovsky.mooo.com/continue.html)
11:03:00	5958/5958	---M-Z	200	added ('OK')	text/html	etag:%221746-55f17b5690b00-gzip%22	http://shymanovsky.mooo.com/nret.html	C:/1234/shentropye/shymanovsky.mooo.com/nret.html	(from http://shymanovsky.mooo.com/continue.html)
11:03:01	5678/5678	---M--	200	added ('OK')	image/gif	etag:%22162e-55b99d60f3cc0%22	http://shymanovsky.mooo.com/nret.gif	C:/1234/shentropye/shymanovsky.mooo.com/nret.gif	(from http://shymanovsky.mooo.com/continue.html)
11:03:01	8418/8418	---M-Z	200	added ('OK')	text/html	etag:%2220e2-55f17b559c8c0-gzip%22	http://shymanovsky.mooo.com/coms.html	C:/1234/shentropye/shymanovsky.mooo.com/coms.html	(from http://shymanovsky.mooo.com/continue.html)
11:03:01	3464/3464	---M--	200	added ('OK')	image/gif	etag:%22d88-55b99d61e7f00%22	http://shymanovsky.mooo.com/coms.gif	C:/1234/shentropye/shymanovsky.mooo.com/coms.gif	(from http://shymanovsky.mooo.com/continue.html)
